savedIndex,alboumName,songerName,name,songUrl,songMP3Url,imageUrl,url
0,,,?????? ???? ???????? - ??? ?????,,https://music.egonair.com/2023/Jun/Wezza%20-%20AS7A%20LL%207EKAYAT.mp3,https://aghanyna.net/wp-content/uploads/2023/06/mqdefault-12-85x85.jpg,https://aghanyna.net/songs/%d9%85%d9%87%d8%b1%d8%ac%d8%a7%d9%86-%d8%a3%d8%b5%d8%ad%d8%a7-%d9%84%d9%84%d8%ad%d9%83%d8%a7%d9%8a%d8%a7%d8%aa-%d9%88%d8%b2%d8%a9-%d9%85%d9%86%d8%aa%d8%b5%d8%b1/
1,,,?????? ?????? ?????? ? ???????? ?????? ?????? - ???? ???? ???? ?????,,https://music.egonair.com/2023/Jun/Karem%20Cristo.mp3,https://aghanyna.net/wp-content/uploads/2023/06/mqdefault-11-85x85.jpg,https://aghanyna.net/songs/%d9%85%d9%87%d8%b1%d8%ac%d8%a7%d9%86-%d9%82%d8%b1%d8%a7%d9%85%d9%8a%d8%b7-%d9%82%d8%b1%d8%a7%d9%85%d9%8a%d8%b7-%d9%88-%d8%a7%d9%84%d9%87%d9%84%d8%a7%d9%81%d9%8a%d8%aa-%d8%b9%d8%a7%d9%85%d9%84%d9%8a/
2,,,???? ???? ? ????? - ??? ?????,,https://music.egonair.com/2023/Jun/L3b%20Elzahr.mp3,https://aghanyna.net/wp-content/uploads/2023/06/mqdefault-1-85x85.jpg,https://aghanyna.net/songs/%d8%ae%d8%a7%d9%84%d8%af-%d8%b9%d8%ac%d9%85%d9%8a-%d9%88-%d8%a3%d8%b1%d8%af%d9%86%d9%8a-%d9%84%d8%b9%d8%a8-%d8%a7%d9%84%d8%b2%d9%87%d8%b1/
3,,,??? ?????? - ???? ???? ??? ????????,,http://music.egonair.com/2023/May/3yne%20Alyek%20Yaly%20Mbtsonsh%20-%20Hamo%20Eltekha.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-107-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d9%88-%d8%a7%d9%84%d8%b7%d9%8a%d8%ae%d8%a7-%d8%b9%d9%8a%d9%86%d9%89-%d8%b9%d9%84%d9%8a%d9%83-%d9%8a%d9%84%d9%89-%d9%85%d8%a7%d8%a8%d8%aa%d8%b5%d9%88%d9%86%d8%b4/
4,,,???? ???? - ????? ????? ?????? ????? ???? ??? ?? ?? ?????,,https://music.egonair.com/2023/May/Essam%20sasa%20Doctor.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-76-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d8%af%d9%83%d8%aa%d9%88%d8%b1-%d8%aa%d8%b9%d8%a8%d8%a7%d9%86-%d8%a7%d9%83%d8%aa%d8%a8%d9%84%d9%8a-%d8%b1%d9%88%d8%b4%d8%aa%d9%87-%d8%a7%d8%b5%d9%84/
5,,,??? ???????? - ?????? ?????,,https://music.egonair.com/2023/May/Reda%20El%20Bahrawy%20Ostora.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-73-85x85.jpg,https://aghanyna.net/songs/%d8%b1%d8%b6%d8%a7-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1%d8%a7%d9%88%d9%8a-%d8%a7%d8%b3%d8%b7%d9%88%d8%b1%d9%87-%d8%ac%d8%a7%d9%85%d8%af%d9%87/
6,,,???? ???????? ? ???? - ?????? ???? ?? ?????,,https://music.egonair.com/2023/May/Embaba%20Agmal%20Men%20Paris.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-70-85x85.jpg,https://aghanyna.net/songs/%d8%a3%d8%ad%d9%85%d8%af-%d8%a7%d9%84%d9%81%d9%8a%d8%b4%d8%a7%d9%88%d9%8a-%d9%88-%d9%85%d8%b3%d9%84%d9%85-%d8%a5%d9%85%d8%a8%d8%a7%d8%a8%d8%a9-%d8%a3%d8%ac%d9%85%d8%af-%d9%85%d9%86-%d8%a8%d8%a7/
7,,,???? ???? ? ???? ????? - ?????,,https://music.egonair.com/2023/May/Muhamed%20Sultan%20ft%20Mohamed%20Siam%20-%20M3lama.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-65-85x85.jpg,https://aghanyna.net/songs/%d9%85%d8%ad%d9%85%d8%af-%d8%b5%d9%8a%d8%a7%d9%85-%d9%88-%d9%85%d8%ad%d9%85%d8%af-%d8%b3%d9%84%d8%b7%d8%a7%d9%86-%d9%85%d8%b9%d9%84%d9%85%d9%87/
8,,,??? ?????? - ????? ? ??????,,https://music.egonair.com/2023/May/Hamo%20Eltekha%20-%20Rakabto%203la%20Elsalam.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-64-85x85.jpg,https://aghanyna.net/songs/%d8%ad%d9%85%d9%88-%d8%a7%d9%84%d8%b7%d9%8a%d8%ae%d8%a7-%d8%b1%d9%83%d8%a8%d8%aa%d9%88-%d8%b9-%d8%a7%d9%84%d8%b3%d9%84%d8%a7%d9%85/
9,,,???? ???? - ??????? ?? ??? ????? - ??? ?? ??? ???? ?????? ???,,https://music.egonair.com/2023/May/Essam%20Sasa%20Elaksam.mp3,https://aghanyna.net/wp-content/uploads/2023/05/mqdefault-42-85x85.jpg,https://aghanyna.net/songs/%d8%b9%d8%b5%d8%a7%d9%85-%d8%b5%d8%a7%d8%b5%d8%a7-%d8%a7%d9%84%d8%a7%d8%ae%d8%b5%d8%a7%d9%85-%d9%85%d8%b4-%d8%ad%d9%85%d9%84-%d9%85%d8%b9%d8%a7%d8%b1%d9%83-%d8%a7%d9%8a%d9%87-%d8%af%d9%87-%d9%87/
