name,songUrl,songMP3Url,imageUrl,url
عمرو دياب,,,https://www.mrmazika.com/uploads/cdnimg/d46f692efa16ef2bafdc8b30fc6b863e.jpg,https://www.mrmazika.com/singer/123-عمرو-دياب.html
منوعات,,,/images/twitter.png,https://www.mrmazika.com/singer/245-منوعات.html
احمد سعد,,,https://www.mrmazika.com/uploads/cdnimg/b21110fa9109db920e3bcafc85e2776f.webp,https://www.mrmazika.com/singer/11-احمد-سعد.html
تامر حسنى,,,https://www.mrmazika.com/uploads/cdnimg/fd9a27a8bc0b9c9591db743e629f7709.jpg,https://www.mrmazika.com/singer/71-تامر-حسنى.html
عصام صاصا,,,,https://www.mrmazika.com/singer/1052-عصام-صاصا.html
مسلم,,,,https://www.mrmazika.com/singer/1179-مسلم.html
اصالة,,,https://www.mrmazika.com/uploads/cdnimg/59327e04338dc9699f6a6acacb47b626.jpg,https://www.mrmazika.com/singer/8-اصالة.html
محمد حماقي,,,https://www.mrmazika.com/uploads/cdnimg/f50cf4e4d4463f3cf90b85ee09600ef7.jpg,https://www.mrmazika.com/singer/155-محمد-حماقي.html
اليسا,,,https://www.mrmazika.com/uploads/cdnimg/124a364ac1e784e5ad86276c948c6127.webp,https://www.mrmazika.com/singer/6-اليسا.html
مهرجانات,,,https://www.mrmazika.com/uploads/albums/nejoum-elmhrgan_159.webp,https://www.mrmazika.com/singer/639-مهرجانات.html
محمد منير,,,https://www.mrmazika.com/uploads/cdnimg/c7a596fcc14806d744b4f41d1dd3ef6e.jpg,https://www.mrmazika.com/singer/144-محمد-منير.html
ايهاب توفيق,,,https://www.mrmazika.com/uploads/albums/kol-youm-ye7lw_756.webp,https://www.mrmazika.com/singer/30-ايهاب-توفيق.html
شيرين,,,https://www.mrmazika.com/uploads/albums/nasay_574.webp,https://www.mrmazika.com/singer/121-شيرين.html
بهاء سلطان,,,https://www.mrmazika.com/uploads/cdnimg/9072d7ca5eacac8acf531012defa2d76.jpg,https://www.mrmazika.com/singer/69-بهاء-سلطان.html
محمد فؤاد,,,https://www.mrmazika.com/uploads/albums/81269849_926.webp,https://www.mrmazika.com/singer/154-محمد-فؤاد.html
حسين الجسمي,,,https://www.mrmazika.com/uploads/cdnimg/36218de86c5589247bf991ab6017e18c.jpg,https://www.mrmazika.com/singer/82-حسين-الجسمي.html
تامر عاشور,,,https://www.mrmazika.com/uploads/cdnimg/429ed6b41c9e965b3ee34ce5a65a0596.jpg,https://www.mrmazika.com/singer/72-تامر-عاشور.html
مصطفي كامل,,,https://www.mrmazika.com/uploads/cdnimg/9642db2027a070eb4f139fdc9429c9dc.jpg,https://www.mrmazika.com/singer/149-مصطفي-كامل.html
رامي صبرى,,,https://www.mrmazika.com/uploads/cdnimg/3b3667212d5fb4687fdf6b854993559f.jpg,https://www.mrmazika.com/singer/102-رامي-صبرى.html
حمو بيكا,,,https://www.mrmazika.com/uploads/cdnimg/df5f8c8722182d684700460037e062b2.webp,https://www.mrmazika.com/singer/969-حمو-بيكا.html
حسن شاكوش,,,,https://www.mrmazika.com/singer/247-حسن-شاكوش.html
جورج وسوف,,,https://www.mrmazika.com/uploads/albums/eshtqnalk_463.webp,https://www.mrmazika.com/singer/75-جورج-وسوف.html
رضا البحراوى,,,,https://www.mrmazika.com/singer/186-رضا-البحراوى.html
حمادة هلال,,,https://www.mrmazika.com/uploads/albums/eish-basha_770.webp,https://www.mrmazika.com/singer/81-حمادة-هلال.html
رامي جمال,,,https://www.mrmazika.com/uploads/cdnimg/332a7c635cf5ffe072dc9f528f35675f.jpg,https://www.mrmazika.com/singer/103-رامي-جمال.html
نانسي عجرم,,,https://www.mrmazika.com/uploads/cdnimg/bc534ab61b232bced528459d910a4f4b.jpg,https://www.mrmazika.com/singer/152-نانسي-عجرم.html
انغام,,,https://www.mrmazika.com/uploads/cdnimg/12388fe7dd8c53c9f80ec15ece6d8ef5.webp,https://www.mrmazika.com/singer/13-انغام.html
فضل شاكر,,,https://www.mrmazika.com/uploads/cdnimg/7bb42e21b3d8c01c3fe59821f0ee69a8.jpg,https://www.mrmazika.com/singer/1003-فضل-شاكر.html
محمد محي,,,https://www.mrmazika.com/uploads/cdnimg/4d050591644869bf2074802050bea97a.webp,https://www.mrmazika.com/singer/156-محمد-محي.html
احمد شيبة,,,,https://www.mrmazika.com/singer/22-احمد-شيبة.html
حمزه نمره,,,https://www.mrmazika.com/uploads/cdnimg/f8fdfda957ce444f24921a46ab0f0f07.jpg,https://www.mrmazika.com/singer/85-حمزه-نمره.html
وائل جسار,,,https://www.mrmazika.com/uploads/albums/omry-w-zekrayato_858.webp,https://www.mrmazika.com/singer/138-وائل-جسار.html
عمر كمال,,,,https://www.mrmazika.com/singer/1039-عمر-كمال.html
