name,songUrl,songMP3Url,imageUrl,url
أبو عبد الملك,,,https://www.anasheed.info/image/90/90/03adba5efcc74e6ddd67c010d8425ff1.jpg,https://www.anasheed.info/singers/1/أبو-عبد-الملك
مشاري العفاسي,,,https://www.anasheed.info/image/90/90/aee39313ba5540f8e57be49054da0647.jpg,https://www.anasheed.info/singers/2/مشاري-العفاسي
أسامة الصافي,,,https://www.anasheed.info/image/90/90/837375492b25562e469d9349389a402d.jpg,https://www.anasheed.info/singers/3/أسامة-الصافي
أحمد أبو خاطر,,,https://www.anasheed.info/image/90/90/288e8c348286b30d4e14759d9311304c.png,https://www.anasheed.info/singers/4/أحمد-أبو-خاطر
أحمد العجمي,,,https://www.anasheed.info/image/90/90/b91e3749c5d9935cf301e6ea303b53b0.png,https://www.anasheed.info/singers/5/أحمد-العجمي
ياسر فاروق أبو عمار,,,https://www.anasheed.info/image/90/90/7daf57f5ae050f737a6a685866231178.png,https://www.anasheed.info/singers/10/ياسر-فاروق-أبو-عمار
أناشيد رمضانية,,,https://www.anasheed.info/image/90/90/4ebc30fda248c69be916e034c2a9885f.jpeg,https://www.anasheed.info/singers/12/أناشيد-رمضانية
منوعات,,,https://www.anasheed.info/image/90/90/25195ab643f3aee2e3ac061d60807bda.jpeg,https://www.anasheed.info/singers/17/منوعات
أبو علي,,,https://www.anasheed.info/image/90/90/a177e224ae144b0412897b6ced545530.png,https://www.anasheed.info/singers/39/أبو-علي
أناشيد الأعضاء,,,https://www.anasheed.info/image/90/90/7fe32f30d8d2026600a5475508ac2c57.jpeg,https://www.anasheed.info/singers/40/أناشيد-الأعضاء
ماهر زين,,,https://www.anasheed.info/image/90/90/a48faed22edfd332ed43d1014580cfbb.jpeg,https://www.anasheed.info/singers/41/ماهر-زين
محمد الحسيان,,,https://www.anasheed.info/image/90/90/30ac366ac90f213bd39d313e82171b9d.jpg,https://www.anasheed.info/singers/48/محمد-الحسيان
أبو الغريب,,,https://www.anasheed.info/image/90/90/c275c7229a29cc0cd4c3942470717ea2.jpg,https://www.anasheed.info/singers/49/أبو-الغريب
فهد مطر,,,https://www.anasheed.info/image/90/90/1b94a4281336570de32e629f2d674487.jpg,https://www.anasheed.info/singers/50/فهد-مطر
محمد المساعد,,,https://www.anasheed.info/image/90/90/64dfff27f26b2873cbc1e2948937ebe0.png,https://www.anasheed.info/singers/51/محمد-المساعد
نداء وحداء,,,https://www.anasheed.info/image/90/90/adf1637ac86ef443a4c965bb3c6d25d5.jpg,https://www.anasheed.info/singers/52/نداء-وحداء
عبد الله المهداوي,,,https://www.anasheed.info/image/90/90/a52498e3f141c0e6658e0e52ac84191d.jpeg,https://www.anasheed.info/singers/53/عبد-الله-المهداوي
حسين الجسمي,,,https://www.anasheed.info/image/90/90/a7f44acd114535b7a0698474278ee497.jpg,https://www.anasheed.info/singers/54/حسين-الجسمي
محمد مطري,,,https://www.anasheed.info/image/90/90/d9a627f59e804d249eaf639648e47da4.jpg,https://www.anasheed.info/singers/55/محمد-مطري
مشاري العرادة,,,https://www.anasheed.info/image/90/90/b75b2e7149cb11e1de7a58a4213416c9.jpeg,https://www.anasheed.info/singers/56/مشاري-العرادة
مبارك عبد الله,,,https://www.anasheed.info/image/90/90/5b729f55425f8c2a41c941f31d50a3ca.jpg,https://www.anasheed.info/singers/57/مبارك-عبد-الله
حمود الخضر,,,https://www.anasheed.info/image/90/90/3627bc44589a4701b20120381adce657.jpg,https://www.anasheed.info/singers/58/حمود-الخضر
أبو مهاجر,,,https://www.anasheed.info/image/90/90/fdbfd083c7c7168b67e8568358ad730a.jpeg,https://www.anasheed.info/singers/59/أبو-مهاجر
