name,songUrl,songMP3Url,imageUrl,url
فراقك ثقيل _ اني العشقتك,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_bysan_asmaayl_frakk_skyl_any_alashktk.mp3,https://www.mrmazika.com/uploads/singers/besan-esmaeil_779.webp,https://www.mrmazika.com/listen/32331-بيسان-اسماعيل-فراقك-ثقيل-_-اني-العشقتك.html
حبيبة الروح,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_gafr_alghzal_hbybt_alrwh.mp3,https://www.mrmazika.com/uploads/singers/gafar-elgazal_276.webp,https://www.mrmazika.com/listen/32330-جعفر-الغزال-حبيبة-الروح.html
يناديني,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhmwd_althamy_ynadyny.mp3,https://www.mrmazika.com/uploads/cdnimg/e83330b69ac1283517facd8bd294ca7d.webp,https://www.mrmazika.com/listen/32329-محمود-التهامي-يناديني.html
فقدت نفسي - ريمكس,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_asalt_fkdt_nfsy_-_rymks.mp3,https://www.mrmazika.com/uploads/cdnimg/e228428ccdf1eb723e4ad69325eb4d33.jpg,https://www.mrmazika.com/listen/32325-اصالة-فقدت-نفسي---ريمكس.html
معدن الجود,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_aydt_almnhaly_madn_algwd.mp3,https://www.mrmazika.com/uploads/singers/eda-al-menhally_530.webp,https://www.mrmazika.com/listen/32324-عيضة-المنهالي-معدن-الجود.html
وجعى زاد,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mhmd_sltan_wgai_zad.mp3,https://www.mrmazika.com/uploads/singers/mohamed-sultan_855.webp,https://www.mrmazika.com/listen/32323-محمد-سلطان-وجعى-زاد.html
رحت - مع علاء الفرطوسي,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_mstfy_alrbyay_rht_-_ma_alaa_alfrtwsy.mp3,https://www.mrmazika.com/uploads/cdnimg/fc86d9bb574c4b2eded3865bbfb2d729.webp,https://www.mrmazika.com/listen/32322-مصطفي-الربيعي-رحت---مع-علاء-الفرطوسي.html
علي مدد الشوق,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ahmd_mshal_aly_mdd_alshwk.mp3,https://www.mrmazika.com/uploads/cdnimg/33be6fa060bacef4227e1b8f562ab40d.jpg,https://www.mrmazika.com/listen/32321-احمد-مشعل-علي-مدد-الشوق.html
العاصمة,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_nwr_alzyn_alaasmt.mp3,https://www.mrmazika.com/uploads/cdnimg/4266819cc4ce7cb804fd1e97a74a2c36.jpg,https://www.mrmazika.com/listen/32319-نور-الزين-العاصمة.html
علي طول من غير سلام _ ياللي عشانكم كنت بحارب,,https://serv10.mrmazika.com/songs_2021/MrMaZiKa.Com_ahmd_shybt_aly_twl_mn_ghyr_slam___yally_ashankm_knt_bharb.mp3,https://www.mrmazika.com/uploads/singers/aflam013563885081_299.webp,https://www.mrmazika.com/listen/32315-احمد-شيبة-علي-طول-من-غير-سلام-_-ياللي-عشانكم-كنت-بحارب.html
